Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],fifo3_data_Q[15:0],fifo3_data_I[8:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
100,100,1,0,-4731,4716,0,1961,-15502,16250,-716,1972,0,-890,1386,16442,0,30276,-22744,033
101,101,0,0,-4731,4716,1,1961,-15502,16250,-5945,7235,1,-937,1245,16442,-3880,30276,-13443,0c8
102,102,0,0,-4731,4716,1,1961,-15502,16250,-5945,7235,0,-937,1245,16442,-3880,30276,-13443,0c8
103,103,0,0,-4731,4716,1,1961,-15502,16250,-10482,11622,1,-1030,1045,16442,-3880,30276,-13443,0c8
104,104,0,0,-4731,4716,1,1961,-15502,16250,-10482,11622,0,-1030,1045,16442,-3880,30276,-13443,0c8
105,105,0,1,-4731,4716,0,1961,-15502,16250,-13718,14678,1,-1163,787,16442,-3880,30044,-1882,061
106,106,0,0,-4731,4716,0,1961,-15502,16250,-13718,14678,0,-1163,787,16442,-3880,30044,-1882,061
107,107,0,0,-4340,3781,0,1961,-15502,16250,-15213,16075,1,-1315,480,16442,-3880,30044,-1882,061
108,108,0,0,-4340,3781,0,1961,-15502,16250,-15213,16075,0,-1315,480,16442,-3880,30044,-1882,061
109,109,0,0,-4340,3781,0,1961,14392,-18615,-14759,15658,1,-1452,141,16368,0,30044,8475,16a
110,110,0,0,-4340,3781,0,1961,14392,-18615,-14759,15658,0,-1452,141,16368,0,30044,8475,16a
111,111,0,0,-4340,3781,0,1961,14392,-18615,-12412,13469,1,-1547,-202,16368,0,30044,8475,16a
112,112,0,0,-4340,3781,0,1961,14392,-18615,-12412,13469,0,-1547,-202,16368,0,30044,8475,16a
113,113,0,0,-4340,3781,0,1961,14392,-18615,-8490,9745,1,-1577,-519,16368,0,29812,13973,1f6
114,114,0,0,-4340,3781,0,1961,14392,-18615,-8490,9745,0,-1577,-519,16368,0,29812,13973,1f6
115,115,0,0,-4340,3781,0,1961,14392,-18615,-3524,4886,1,-1527,-790,16368,0,29812,13973,1f6
116,116,0,0,-4340,3781,0,1961,14392,-18615,-3524,4886,0,-1527,-790,16368,0,29812,13973,1f6
117,117,0,0,-4340,3781,1,1961,14392,-18615,1812,-592,1,-1389,-1010,16368,-10928,29812,12417,18b
118,118,0,0,-4340,3781,1,1961,14392,-18615,1812,-592,0,-1389,-1010,16368,-10928,29812,12417,18b
119,119,0,0,-4340,3781,1,1961,14392,-18615,6799,-6131,1,-1163,-1176,16368,-10928,29812,12417,18b
120,120,0,0,-4340,3781,1,1961,14392,-18615,6799,-6131,0,-1163,-1176,16368,-10928,29812,12417,18b
121,121,0,1,-4340,3781,0,1961,14392,-18615,10771,-11198,1,-848,-1280,16368,-10928,29876,4518,1c1
122,122,0,0,-4340,3781,0,1961,14392,-18615,10771,-11198,0,-848,-1280,16368,-10928,29876,4518,1c1
123,123,0,0,-4832,-4552,0,1961,14392,-18615,13205,-15357,1,-454,-1310,16368,-10928,29876,4518,1c1
124,124,0,0,-4832,-4552,0,1961,14392,-18615,13205,-15357,0,-454,-1310,16368,-10928,29876,4518,1c1
125,125,0,0,-4832,-4552,0,1961,-19621,-13172,13789,-18320,1,-12,-1271,16341,0,29876,-5945,043
126,126,0,0,-4832,-4552,0,1961,-19621,-13172,13789,-18320,0,-12,-1271,16341,0,29876,-5945,043
127,127,0,0,-4832,-4552,0,1961,-19621,-13172,12456,-19978,1,423,-1183,16341,0,29876,-5945,043
128,128,0,0,-4832,-4552,0,1961,-19621,-13172,12456,-19978,0,423,-1183,16341,0,29876,-5945,043
129,129,0,0,-4832,-4552,0,1961,-19621,-13172,9376,-20399,1,791,-1080,16341,0,29940,-13718,156
130,130,0,0,-4832,-4552,0,1961,-19621,-13172,9376,-20399,0,791,-1080,16341,0,29940,-13718,156
131,131,0,0,-4832,-4552,0,1961,-19621,-13172,4923,-19808,1,1047,-996,16341,0,29940,-13718,156
132,132,0,0,-4832,-4552,0,1961,-19621,-13172,4923,-19808,0,1047,-996,16341,0,29940,-13718,156
133,133,0,0,-4832,-4552,1,1961,-19621,-13172,-393,-18537,1,1164,-956,16341,0,29940,-14759,12a
134,134,0,0,-4832,-4552,1,1961,-19621,-13172,-393,-18537,0,1164,-956,16341,0,29940,-14759,12a
135,135,0,0,-4832,-4552,1,1961,-19621,-13172,-6004,-16964,1,1132,-973,16341,0,29940,-14759,12a
136,136,0,0,-4832,-4552,1,1961,-19621,-13172,-6004,-16964,0,1132,-973,16341,0,29940,-14759,12a
137,137,0,1,-4832,-4552,0,1961,-19621,-13172,-11361,-15451,1,953,-1041,16341,-21472,30112,-8490,011
138,138,0,0,-4832,-4552,0,1961,-19621,-13172,-11361,-15451,0,953,-1041,16341,-21472,30112,-8490,011
139,139,0,0,-4146,4537,0,1961,-19621,-13172,-16007,-14283,1,643,-1137,16341,-21472,30112,-8490,011
140,140,0,0,-4146,4537,0,1961,-19621,-13172,-16007,-14283,0,643,-1137,16341,-21472,30112,-8490,011
141,141,0,0,-4146,4537,0,1961,-14478,-15266,-19621,-13635,1,238,-1232,16300,0,30112,1812,1b0
142,142,0,0,-4146,4537,0,1961,-14478,-15266,-19621,-13635,0,238,-1232,16300,0,30112,1812,1b0
143,143,0,0,-4146,4537,0,1961,-14478,-15266,-22043,-13544,1,-210,-1292,16300,0,30112,1812,1b0
144,144,0,0,-4146,4537,0,1961,-14478,-15266,-22043,-13544,0,-210,-1292,16300,0,30112,1812,1b0
145,145,0,0,-4146,4537,0,1961,-14478,-15266,-23264,-13917,1,-643,-1291,16300,0,30284,10771,042
146,146,0,0,-4146,4537,0,1961,-14478,-15266,-23264,-13917,0,-643,-1291,16300,0,30284,10771,042
147,147,0,0,-4146,4537,0,1961,-14478,-15266,-23407,-14552,1,-1014,-1218,16300,0,30284,10771,042
148,148,0,0,-4146,4537,0,1961,-14478,-15266,-23407,-14552,0,-1014,-1218,16300,0,30284,10771,042
149,149,0,0,-4146,4537,1,1961,-14478,-15266,-22688,-15181,1,-1298,-1080,16300,16962,30284,13789,070
150,150,0,0,-4146,4537,1,1961,-14478,-15266,-22688,-15181,0,-1298,-1080,16300,16962,30284,13789,070
151,151,0,0,-4146,4537,1,1961,-14478,-15266,-21369,-15512,1,-1485,-890,16300,16962,30284,13789,070
152,152,0,0,-4146,4537,1,1961,-14478,-15266,-21369,-15512,0,-1485,-890,16300,16962,30284,13789,070
153,153,0,1,-4146,4537,0,1961,-14478,-15266,-19719,-15279,1,-1577,-657,16300,-14270,30620,9376,051
154,154,0,0,-4146,4537,0,1961,-14478,-15266,-19719,-15279,0,-1577,-657,16300,-14270,30620,9376,051
155,155,0,0,4417,-4947,0,1961,-14478,-15266,-17981,-14284,1,-1582,-387,16300,-14270,30620,9376,051
156,156,0,0,4417,-4947,0,1961,-14478,-15266,-17981,-14284,0,-1582,-387,16300,-14270,30620,9376,051
157,157,0,0,4417,-4947,0,1961,13093,-14867,-16353,-12421,1,-1514,-87,16328,0,30620,-393,197
158,158,0,0,4417,-4947,0,1961,13093,-14867,-16353,-12421,0,-1514,-87,16328,0,30620,-393,197
159,159,0,0,4417,-4947,0,1961,13093,-14867,-14979,-9693,1,-1393,232,16328,0,30620,-393,197
160,160,0,0,4417,-4947,0,1961,13093,-14867,-14979,-9693,0,-1393,232,16328,0,30620,-393,197
161,161,0,0,4417,-4947,0,1961,13093,-14867,-13955,-6197,1,-1248,547,16328,0,30956,-11361,1a5
162,162,0,0,4417,-4947,0,1961,13093,-14867,-13955,-6197,0,-1248,547,16328,0,30956,-11361,1a5
163,163,0,0,4417,-4947,0,1961,13093,-14867,-13337,-2116,1,-1107,834,16328,0,30956,-11361,1a5
164,164,0,0,4417,-4947,0,1961,13093,-14867,-13337,-2116,0,-1107,834,16328,0,30956,-11361,1a5
165,165,0,0,4417,-4947,1,1961,13093,-14867,-13150,2317,1,-993,1079,16328,19596,30956,-19621,0bd
166,166,0,0,4417,-4947,1,1961,13093,-14867,-13150,2317,0,-993,1079,16328,19596,30956,-19621,0bd
167,167,0,0,4417,-4947,1,1961,13093,-14867,-13394,6841,1,-915,1275,16328,19596,30956,-19621,0bd
168,168,0,0,4417,-4947,1,1961,13093,-14867,-13394,6841,0,-915,1275,16328,19596,30956,-19621,0bd
169,169,0,1,4417,-4947,0,1961,13093,-14867,-14042,11198,1,-873,1419,16328,11606,31180,-23264,1a3
170,170,0,0,4417,-4947,0,1961,13093,-14867,-14042,11198,0,-873,1419,16328,11606,31180,-23264,1a3
171,171,0,0,-4838,4908,0,1961,13093,-14867,-15033,15150,1,-858,1513,16328,11606,31180,-23264,1a3
172,172,0,0,-4838,4908,0,1961,13093,-14867,-15033,15150,0,-858,1513,16328,11606,31180,-23264,1a3
173,173,0,0,-4838,4908,0,1961,-15199,16075,-16270,18500,1,-863,1557,16429,0,31180,-22688,0b3
174,174,0,0,-4838,4908,0,1961,-15199,16075,-16270,18500,0,-863,1557,16429,0,31180,-22688,0b3
175,175,0,0,-4838,4908,0,1961,-15199,16075,-17608,21091,1,-883,1554,16429,0,31180,-22688,0b3
176,176,0,0,-4838,4908,0,1961,-15199,16075,-17608,21091,0,-883,1554,16429,0,31180,-22688,0b3
177,177,0,0,-4838,4908,0,1961,-15199,16075,-18858,22812,1,-914,1500,16429,0,31404,-19719,051
178,178,0,0,-4838,4908,0,1961,-15199,16075,-18858,22812,0,-914,1500,16429,0,31404,-19719,051
179,179,0,0,-4838,4908,0,1961,-15199,16075,-19798,23590,1,-955,1395,16429,0,31404,-19719,051
180,180,0,0,-4838,4908,0,1961,-15199,16075,-19798,23590,0,-955,1395,16429,0,31404,-19719,051
181,181,0,0,-4838,4908,1,1961,-15199,16075,-20187,23390,1,-1005,1236,16429,318,31404,-16353,17b
182,182,0,0,-4838,4908,1,1961,-15199,16075,-20187,23390,0,-1005,1236,16429,318,31404,-16353,17b
183,183,0,0,-4838,4908,1,1961,-15199,16075,-19802,22208,1,-1070,1028,16429,318,31404,-16353,17b
184,184,0,0,-4838,4908,1,1961,-15199,16075,-19802,22208,0,-1070,1028,16429,318,31404,-16353,17b
